Station ;End_date;PumpCycle;n_PumpCycles;diff_ppm;ebu_flux_umol_m2_h1;;
6;19-10-2022;3;18;1,554551108;21,49296713;;
6;19-10-2022;4;18;15,26707388;211,6619001;;
6;19-10-2022;5;18;0,92715487;12,87322725;;
6;19-10-2022;7;18;1,519843077;21,12771133;;
6;19-10-2022;8;18;9,524829003;132,7216323;;
6;19-10-2022;9;18;8,874083066;123,613047;;
6;19-10-2022;10;18;9,813359181;136,7599671;;
6;19-10-2022;14;18;17,89081828;249,3729749;;
6;19-10-2022;15;18;22,54480929;314,1996869;;
6;19-10-2022;16;18;22,13309934;309,4373754;;
6;19-10-2022;18;18;4,712865436;66,57142237;;
9;19-10-2022;4;21;21,11038509;290,2141876;;
9;19-10-2022;8;21;24,45217047;338,7770714;;
4;22-11-2022;3;19;53,47233592;737,3350622;;
4;22-11-2022;5;19;16,96650735;235,6080877;;
4;22-11-2022;6;19;62,64078507;864,4744501;;
4;22-11-2022;8;19;34,23028965;473,6133781;;
4;22-11-2022;9;19;95,01626471;1315,656055;;
4;22-11-2022;10;19;114,3592135;1579,042812;;
4;22-11-2022;17;19;200,1031531;2774,116774;;
4;22-11-2022;21;19;34,795156;483,0963723;;
6;23-11-2022;2;17;5,785813803;80,96518388;;
6;23-11-2022;14;17;3,027687681;41,98139362;;
6;23-11-2022;16;17;5,730148805;79,56386421;;
3;20-12-2022;16;21;4,752856793;66,4271252;;
4;20-12-2022;12;18;6,063658;85,05290011;;
5;20-12-2022;20;21;16,82840869;233,9377155;;
2;24-01-2023;18;23;1,475281559;21,52895665;;
2;24-01-2023;22;23;5,628720917;82,40834044;;
3;24-01-2023;22;22;3,982638904;57,94821327;;
4;24-01-2023;18;20;23,84091472;347,7949709;;
9;22-02-2023;12;20;4,908756548;70,12170811;;
9;22-02-2023;12;20;45,36828306;647,5789322;;
8;29-03-2023;11;17;2,398558169;34,00245381;;
10;29-03-2023;7;17;4,898031717;67,56876801;;
10;29-03-2023;11;17;13,05981166;181,6692562;;
10;29-03-2023;17;17;43,17120887;598,4834482;;
1;02-05-2023;19;20;1,370082788;18,91194041;;
1;02-05-2023;20;20;1,660092018;22,62380911;;
1;02-05-2023;21;20;2,066874508;27,87656205;;
1;02-05-2023;22;20;2,004693342;26,97025979;;
1;02-05-2023;22;20;2,415639284;32,39960783;;
10;03-05-2023;2;19;5,990733678;80,60086847;;
1;06-06-2023;2;22;2,119707767;27,85299648;;
1;06-06-2023;2;22;14,73394212;193,3370057;;
1;06-06-2023;3;22;1,471319933;19,3907738;;
1;06-06-2023;4;22;130,1581889;1690,451775;;
4;06-06-2023;2;22;29,28248517;388,9443774;;
4;06-06-2023;4;22;5,739396677;76,98910797;;
4;06-06-2023;7;22;15,11095942;201,4986435;;
4;06-06-2023;13;22;15,32347698;213,4575874;;
4;06-06-2023;14;22;8,710258414;121,713451;;
4;06-06-2023;15;22;1,554583222;21,85463176;;
4;06-06-2023;17;22;56,3821101;794,1225956;;
4;06-06-2023;18;22;16,96647671;240,1715624;;
5;06-06-2023;15;22;37,67414706;521,2694472;;
9;07-06-2023;8;19;12,68867977;172,1653973;;
10;07-06-2023;3;19;5,029373218;65,98665015;;
10;07-06-2023;4;19;5,156639882;67,46064743;;
10;07-06-2023;7;19;15,41777701;203,3932158;;
10;07-06-2023;7;19;5,097286183;67,25387022;;
10;07-06-2023;8;19;6,837914874;90,95172737;;
10;07-06-2023;8;19;5,532398369;73,60761481;;
10;07-06-2023;9;19;7,455374463;99,83831947;;
10;07-06-2023;9;19;17,58592533;235,4853547;;
10;07-06-2023;12;19;3,36968578;45,40321376;;
10;07-06-2023;18;19;10,77677029;144,5257939;;
10;07-06-2023;19;19;12,56896589;168,1402493;;
13;08-06-2023;18;19;16,69907302;227,7008399;;
14;08-06-2023;16;19;3,537342451;49,21086519;;
4;18-07-2023;3;43;32,23251811;429,0106411;;
4;18-07-2023;4;43;20,10303354;264,0333226;;
4;18-07-2023;5;43;27,97936828;369,9386961;;
4;18-07-2023;6;43;5,253833567;70,61127306;;
4;18-07-2023;6;43;3,040384663;40,82445923;;
4;18-07-2023;7;43;23,33350806;309,3218873;;
4;18-07-2023;7;43;5,378427642;71,19207941;;
4;18-07-2023;7;43;14,11363642;186,4906232;;
4;18-07-2023;8;43;27,24310218;360,7838982;;
4;18-07-2023;9;43;44,80761016;597,8987765;;
4;18-07-2023;9;43;31,28244746;417,7306833;;
4;18-07-2023;9;43;5,147779834;68,80483362;;
4;18-07-2023;10;43;17,28858936;232,2504116;;
4;18-07-2023;10;43;30,03828695;403,3824596;;
4;18-07-2023;10;43;18,20850028;244,514306;;
4;18-07-2023;11;43;3,091076574;41,74730894;;
4;18-07-2023;11;43;7,258037799;97,90677258;;
4;18-07-2023;12;43;9,5674966;129,39301;;
4;18-07-2023;13;43;3,459671387;46,93950596;;
4;18-07-2023;13;43;4,087969263;55,35499226;;
4;18-07-2023;14;43;23,47173448;318,8362098;;
4;18-07-2023;14;43;26,58143476;360,7837371;;
4;18-07-2023;15;43;5,969179114;80,98576846;;
4;18-07-2023;15;43;24,96201933;338,3909447;;
4;18-07-2023;15;43;11,81444299;160,1118448;;
4;18-07-2023;15;43;11,29810495;153,0662138;;
4;18-07-2023;15;43;10,5533289;142,8424975;;
4;18-07-2023;15;43;29,73065138;402,1921842;;
4;18-07-2023;16;43;11,99042969;162,7237287;;
4;18-07-2023;16;43;19,86758055;269,5917728;;
4;18-07-2023;17;43;10,79670688;147,0902883;;
4;18-07-2023;17;43;11,36727252;154,6660784;;
4;18-07-2023;17;43;9,073115472;123,3835578;;
4;18-07-2023;17;43;10,9609241;148,9848246;;
4;18-07-2023;17;43;8,824202282;119,7754315;;
4;18-07-2023;18;43;2,442940938;32,96972359;;
4;18-07-2023;19;43;6,319472642;85,05416119;;
4;18-07-2023;19;43;5,20610809;69,94082442;;
4;18-07-2023;20;43;1,757762885;23,57477704;;
4;18-07-2023;20;43;20,66885982;276,9004462;;
4;18-07-2023;22;43;19,86203349;270,4993511;;
4;18-07-2023;22;43;18,88652906;256,3826212;;
4;18-07-2023;23;43;11,22790956;150,9254909;;
4;18-07-2023;24;43;13,85610796;186,2144684;;
4;18-07-2023;24;43;9,306854654;124,9308511;;
4;18-07-2023;24;43;64,09427646;860,9775371;;
4;18-07-2023;25;43;13,882976;184,5459424;;
4;18-07-2023;25;43;29,52725361;392,2845803;;
4;18-07-2023;25;43;4,145905814;55,16583358;;
4;18-07-2023;25;43;35,93159304;478,3692264;;
4;18-07-2023;26;43;44,12467641;592,3039471;;
4;18-07-2023;26;43;28,63499714;382,5556077;;
4;18-07-2023;27;43;10,25357159;136,1751567;;
4;18-07-2023;28;43;25,78229014;342,2090643;;
4;18-07-2023;28;43;3,778473775;50,08279917;;
4;18-07-2023;29;43;8,620058852;114,5050531;;
4;18-07-2023;31;43;12,20201798;164,8493439;;
4;18-07-2023;31;43;3,361888353;45,40539903;;
4;18-07-2023;32;43;32,11606095;435,0216849;;
4;18-07-2023;32;43;15,5675511;210,5655778;;
4;18-07-2023;33;43;20,95254607;284,687642;;
4;18-07-2023;36;43;67,04431726;909,4455559;;
4;18-07-2023;37;43;10,19237426;138,9013055;;
4;18-07-2023;37;43;6,842387292;93,19222472;;
4;18-07-2023;38;43;12,6304658;171,7191236;;
4;18-07-2023;38;43;10,2881951;139,6994936;;
4;18-07-2023;38;43;31,8373648;432,2716413;;
4;18-07-2023;39;43;80,368771;1091,99875;;
4;18-07-2023;40;43;14,63323043;198,6318251;;
4;18-07-2023;41;43;11,73047746;159,5438564;;
4;18-07-2023;43;43;11,70816265;158,0291522;;
4;18-07-2023;44;43;24,39711617;325,828792;;
5;18-07-2023;22;31;27,03970982;370,5116867;;
5;18-07-2023;25;31;7,203987686;99,1955293;;
7;20-07-2023;18;44;14,04151039;192,7284314;;
7;20-07-2023;19;44;20,07616844;273,8638315;;
9;20-07-2023;12;41;1,227420398;16,68753726;;
9;20-07-2023;19;41;6,057560906;82,39280213;;
9;20-07-2023;20;41;3,057620998;41,59821258;;
9;20-07-2023;35;41;10,05345015;136,6999224;;
12;22-07-2023;18;29;18,9547497;260,5631545;;
12;22-07-2023;22;29;3,830751716;52,2727676;;
7;23-08-2023;3;24;2,486153105;32,55734624;;245
7;23-08-2023;8;24;33,23092604;446,4222416;;
7;23-08-2023;15;24;3,138469079;42,96230263;;
7;23-08-2023;26;24;48,34432503;629,7606531;;
10;23-08-2023;2;33;17,20689907;226,9051788;;
10;23-08-2023;2;33;31,72461217;418,6166876;;
10;23-08-2023;3;33;9,346493619;123,4614629;;
10;23-08-2023;5;33;31,55426129;414,3446797;;
10;23-08-2023;5;33;4,253424148;55,8812994;;
10;23-08-2023;6;33;21,70646577;284,6919846;;
10;23-08-2023;7;33;3,939503257;51,64050949;;
10;23-08-2023;8;33;8,74730434;114,4887401;;
10;23-08-2023;8;33;3,047615242;39,89190873;;
10;23-08-2023;8;33;8,417257076;110,100989;;
10;23-08-2023;8;33;30,55404558;399,132751;;
10;23-08-2023;9;33;3,967563711;52,06406444;;
10;23-08-2023;10;33;17,75201426;233,6338945;;
10;23-08-2023;10;33;24,37792206;321,2603053;;
10;23-08-2023;12;33;19,07437796;253,9721556;;
10;23-08-2023;12;33;4,982986615;66,3757837;;
10;23-08-2023;12;33;5,990713532;79,806612;;
10;23-08-2023;14;33;19,13001853;255,5190663;;
10;23-08-2023;14;33;10,56023271;141,0105771;;
10;23-08-2023;14;33;14,71433481;196,4827417;;
10;23-08-2023;15;33;3,388880723;45,27834448;;
10;23-08-2023;15;33;8,592928534;114,8704622;;
10;23-08-2023;15;33;19,14165041;255,6687578;;
10;23-08-2023;16;33;21,46776351;286,2116585;;
10;23-08-2023;16;33;3,320180837;44,2961515;;
10;23-08-2023;16;33;9,233917951;123,1692861;;
10;23-08-2023;17;33;29,67350419;395,4352369;;
10;23-08-2023;17;33;11,50543525;153,4131917;;
10;23-08-2023;17;33;4,748968205;63,30999287;;
10;23-08-2023;18;33;21,74648794;289,779812;;
10;23-08-2023;18;33;38,04755368;507,5285536;;
10;23-08-2023;18;33;16,22345689;216,3758523;;
10;23-08-2023;19;33;22,11272989;295,0313917;;
10;23-08-2023;19;33;33,41571381;446,0458;;
10;23-08-2023;20;33;2,536225033;33,90992575;;
10;23-08-2023;21;33;11,50332172;153,6960748;;
10;23-08-2023;21;33;10,63943087;142,2039131;;
10;23-08-2023;21;33;4,552959417;60,83699409;;
10;23-08-2023;21;33;8,490499495;113,3964083;;
10;23-08-2023;23;33;23,83837711;316,67432;;
10;23-08-2023;23;33;14,50694209;192,6143774;;
10;23-08-2023;25;33;9,613728462;126,8486902;;
10;23-08-2023;25;33;26,23705267;346,5745011;;
10;23-08-2023;25;33;32,75737178;432,9874993;;
10;23-08-2023;27;33;5,570108612;73,28456225;;
10;23-08-2023;27;33;18,26414628;240,0227125;;
10;23-08-2023;28;33;7,819866297;102,6836955;;
10;23-08-2023;28;33;13,02862963;171,0235525;;
10;23-08-2023;29;33;24,7728672;324,8994543;;
10;23-08-2023;30;33;25,7596047;337,8134056;;
10;23-08-2023;30;33;30,03145692;393,8536828;;
10;23-08-2023;30;33;27,09001635;355,2605247;;
10;23-08-2023;31;33;9,856765573;129,1905212;;
10;23-08-2023;31;33;33,27963972;436,4642961;;
10;23-08-2023;32;33;20,63532188;271,9370445;;
10;23-08-2023;32;33;9,43542307;124,3663234;;
10;23-08-2023;33;33;10,65012652;141,1354604;;
10;23-08-2023;34;33;19,78760676;263,5707183;;
10;23-08-2023;34;33;10,49145313;139,7642076;;
10;23-08-2023;34;33;25,53254551;340,1374381;;
11;25-08-2023;31;41;10,1723566;137,3303545;;
11;25-08-2023;36;41;5,210218705;70,63419819;;
4;27-08-2023;2;12;3,695010833;48,16273191;;
4;27-08-2023;2;12;4,497561124;58,74268768;;
4;27-08-2023;2;12;4,597228578;60,15074637;;
4;27-08-2023;3;12;5,010748376;65,53476794;;
4;27-08-2023;3;12;1,958611546;25,60377065;;
4;27-08-2023;3;12;4,053956774;52,93909982;;
