month ;End_date;air_pressure_hPa 
Oct;18-10-2022;1020,548
Oct;19-10-2022;1025,596
Oct;20-10-2022;1026,964
Nov;22-11-2022;1000,464
Nov;23-11-2022;1000,556
Nov;24-11-2022;1000,556
Dec;20-12-2022;1010,568
Dec;20-12-2022;1007,28
Dec;20-12-2022;1007,28
Jan;24-01-2023;1040,681481
Jan;25-01-2023;1036,904
Jan;26-01-2023;1023,948
Feb;21-02-2023;1007,744444
Feb;22-02-2023;1015,236
Feb;23-02-2023;1012,74
Mar;28-03-2024;1016,171429
Mar;28-03-2024;1018,152
Mar;28-03-2024;1007,816
May;02-05-2023;1015,260714
May;03-05-2023;1025,46
May;04-05-2023;1027,764
Jun;06-06-2023;1022,103571
Jun;07-06-2023;1020,52
Jun;08-06-2023;1019,724
Jul;18-07-2023;1013,325
Jul;20-07-2023;1012,691837
Jul;22-07-2023;1009,883673
Aug ;23-08-2023;1019,771154
Aug ;25-08-2023;1014,320408
Aug ;27-08-2023;1007,802041
Sep;26-09-2023;1023,639286
Sep;28-09-2023;1018,836735
Sep;29-09-2023;1015,352
