Month;Start_Date;End_Date;Station;PumpCycle;Datetime;diff_flux_umol_m2_h1;CO2_diff_umol_m2_h1
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;2;2022-10-06T11:59:42Z;NA;1787,0048906285240
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;3;2022-10-06T13:01:13Z;NA;1971,8014406269640
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;4;2022-10-06T14:02:47Z;NA;1775,5481157105960
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;5;2022-10-06T15:04:21Z;NA;2061,9686748651593
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;6;2022-10-06T16:05:56Z;NA;2049,1401281650519
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;7;2022-10-06T17:07:29Z;NA;1708,5422518573373
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;8;2022-10-17T16:32:00Z;-5,151787981796139;1724,4277919610740
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;9;2022-10-06T19:10:36Z;NA;1790,0366094327023
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;10;2022-10-06T20:12:08Z;NA;1903,5005093519501
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;11;2022-10-17T19:36:36Z;6,038785617878189;2329,3492729038157
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;12;2022-10-17T20:38:08Z;4,165976717919529;2493,8153941345604
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;13;2022-10-06T23:16:47Z;NA;2289,0444175168873
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;14;2022-10-17T22:41:14Z;3,152757291155731;2644,9968375261428
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;15;2022-10-17T23:42:48Z;8,732966802026420;2730,2756227960349
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;16;2022-10-18T00:44:18Z;9,008879459046000;2728,7564895564556
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;17;2022-10-07T03:22:52Z;NA;2547,5142983359856
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;18;2022-10-07T04:24:22Z;NA;2014,9161452489725
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;19;2022-10-18T03:48:51Z;7,803648162279359;2621,1817529988612
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;20;2022-10-18T04:50:21Z;11,319723626429710;2556,9318975523443
