month;station;water_velocity_cm_s;CO2_conc_umol_l;CH4_conc_umol_l;Alk_meq_l;pH;water_temperature_C
Oct;1;20,120;129,23999170;NA;4,735838884;7,88;NA
Oct;2;5,528;201,07810860;NA;4,741138356;7,69;NA
Oct;3;40,420;402,37805630;NA;4,731518449;7,39;NA
Oct;5;8,941;178,53639250;NA;5,544000586;7,81;NA
Oct;6;0,792;198,88870110;NA;4,658776895;7,69;9,0
Oct;7;2,996;357,98512300;NA;4,495593192;7,42;9,5
Oct;9;2,172;196,66281080;NA;4,295325856;7,66;10,0
Oct;10;7,706;178,12044670;NA;4,472862790;7,72;6,0
Oct;11;16,740;52,91304106;NA;4,261992524;8,22;4,0
Oct;12;4,481;116,06624240;NA;4,426677595;7,90;8,0
Oct;13;57,720;135,22766950;NA;4,858681984;7,87;7,0
Oct;14;11,200;109,38457230;NA;5,000112341;7,97;NA
Nov;1;16,110;159,65487840;NA;5,157681549;7,82;NA
Nov;2;2,192;329,85781540;NA;4,774016801;7,48;NA
Nov;3;59,080;168,77647430;NA;4,673907387;7,76;NA
Nov;4;NA;307,82912390;NA;4,752087932;7,51;NA
Nov;5;5,631;196,46738420;NA;5,417693621;7,76;NA
Nov;6;1,342;169,73797610;NA;4,352019345;7,73;4,0
Nov;7;2,651;367,74237590;NA;4,299918742;7,39;NA
Nov;8;53,060;169,38567160;NA;4,352019345;7,73;NA
Nov;9;7,410;236,34846670;NA;4,703841626;7,62;NA
Nov;10;6,084;215,93147700;NA;4,708194467;7,66;NA
Nov;11;11,690;88,88902886;NA;4,677089270;8,04;6,0
Nov;12;8,712;178,24236380;NA;4,557354067;7,73;5,5
Nov;13;61,520;163,82233240;NA;4,327915317;7,74;NA
Nov;14;23,830;114,36745030;NA;4,302125076;7,89;NA
Dec;1;3,059;189,20598090;NA;4,817975160;7,72;NA
Dec;2;2,891;193,49301990;NA;4,782155197;7,71;NA
Dec;3;45,440;319,75387400;NA;3,908803785;7,41;NA
Dec;4;1,056;306,82768260;NA;3,750220169;7,41;NA
Dec;5;20,070;245,43434130;NA;4,672715654;7,60;NA
Dec;6;11,000;322,50906600;NA;3,958459766;7,41;4,0
Dec;7;8,718;306,07371740;NA;3,850400442;7,42;NA
Dec;8;80,790;322,67431530;NA;3,958459766;7,41;NA
Dec;9;7,241;274,11081460;NA;3,945925963;7,48;NA
Dec;10;5,498;285,09836200;NA;4,013901247;7,47;NA
Dec;11;22,720;78,11434756;NA;3,920461036;8,02;5,0
Dec;12;13,850;236,03531440;NA;3,614856631;7,51;4,0
Dec;13;56,110;135,31321960;NA;4,030505787;7,79;NA
Dec;14;42,040;105,86414550;NA;3,879658052;7,88;NA
Dec;15;52,750;103,05401380;NA;3,972226702;7,90;5,0
Jan;1;NA;137,76994480;0,058218661;3,433141323;7,72;NA
Jan;2;NA;178,78195480;0,142420179;3,524755935;7,62;NA
Jan;3;4,830;360,21371140;0,210864751;3,635812159;7,33;NA
Jan;4;NA;340,48551080;0,316714771;3,686310835;7,36;NA
Jan;5;19,220;190,10479690;0,133590312;4,222308125;7,67;4,5
Jan;6;15,610;175,92791410;0,232292699;2,607013867;7,50;2,0
Jan;7;26,500;162,55647540;0,242865237;2,706231702;7,55;NA
Jan;8;68,170;174,58888710;0,259348658;2,607013867;7,50;NA
Jan;9;12,750;208,12975980;0,145967827;2,685881487;7,44;NA
Jan;10;18,050;164,85183630;0,127102478;2,680002123;7,54;NA
Jan;11;12,580;59,50805278;0,101059608;3,767177475;8,12;3,0
Jan;12;12,330;143,62413140;0,080083995;3,651689415;7,73;3,0
Jan;13;27,310;105,85675030;0,208139527;3,328620948;7,82;3,5
Jan;14;39,100;102,46146810;0,212077828;3,464686679;7,85;4,0
Jan;15;44,380;97,08475744;0,133152925;3,437752129;7,87;4,0
Feb;1;NA;94,09402108;0,080336324;3,412192620;7,88;NA
Feb;2;NA;114,77585330;0,124881307;3,875965326;7,85;NA
Feb;3;17,910;198,13846750;0,272899369;4,114974980;7,64;NA
Feb;4;NA;201,98203020;0,026118484;4,099092504;7,63;NA
Feb;5;11,980;166,33470760;0,074504566;4,907535271;7,79;NA
Feb;6;1,684;127,32090280;0,117504386;2,995599186;7,71;4,0
Feb;7;27,390;140,01572430;0,224351290;3,093180980;7,67;NA
Feb;8;72,270;122,74546080;0,205413679;2,995599186;7,71;NA
Feb;9;22,160;170,20311520;0,143728571;3,195402696;7,60;NA
Feb;10;18,290;112,41591300;0,104202261;2,980509171;7,75;NA
Feb;11;23,670;51,88181320;0,094847159;4,058930499;8,21;5,0
Feb;12;8,928;103,64497110;0,165258077;3,493451310;7,85;5,0
Feb;13;52,470;88,80092817;0,120657022;3,881694290;7,96;NA
Feb;14;58,240;75,67820610;0,162859335;3,718821998;8,01;NA
Feb;15;50,640;79,31053243;0,090787991;3,915642137;8,01;6,0
Mar;1;21,880;121,86241800;0,208387190;3,596128097;7,79;NA
Mar;2;NA;124,85994390;0,127691271;3,596399560;7,78;NA
Mar;3;9,230;200,74468530;0,334279180;3,814234619;7,60;NA
Mar;4;NA;240,44718860;0,320424102;3,959594221;7,54;NA
Mar;5;17,920;180,24779900;0,192924639;4,406490415;7,71;NA
Mar;6;24,780;136,83538570;0,196569485;3,087639768;7,68;NA
Mar;7;29,640;169,34932600;0,259718746;3,104969614;7,59;NA
Mar;8;71,800;135,85082110;0,006112343;3,087639768;7,68;NA
Mar;9;22,780;179,56983480;0,178807878;3,218474884;7,58;NA
Mar;10;12,880;103,57465920;0,176747138;2,939763859;7,78;NA
Mar;11;29,100;72,04031456;0,097004485;3,506817527;8,01;7,0
Mar;12;16,040;189,35229570;0,189779792;3,631183555;7,61;7,0
Mar;13;49,750;124,93850600;0,175555556;3,857955205;7,81;7,5
Mar;14;63,760;96,07080109;0,186349895;3,563242298;7,89;NA
Mar;15;51,610;111,67953380;0,164406067;3,532107395;7,82;8,0
